sample_index,timestamp_utc,elapsed_s,channel,voltage_v,adc_count_derived
0,2026-09-09T11:09:10.099891+00:00,0.000729,A0,0.000000,0
1,2026-09-09T11:09:10.199233+00:00,0.100114,A0,0.000000,0
2,2026-09-09T11:09:10.299103+00:00,0.200085,A0,0.000000,0
3,2026-09-09T11:09:10.399078+00:00,0.300079,A0,0.000000,0
4,2026-09-09T11:09:10.499099+00:00,0.400079,A0,0.000000,0
5,2026-09-09T11:09:10.599066+00:00,0.500079,A0,0.000000,0
6,2026-09-09T11:09:10.699198+00:00,0.600078,A0,0.000000,0
7,2026-09-09T11:09:10.799112+00:00,0.700086,A0,0.000000,0
8,2026-09-09T11:09:10.899071+00:00,0.800079,A0,0.000000,0
9,2026-09-09T11:09:10.999088+00:00,0.900078,A0,0.000000,0
10,2026-09-09T11:09:11.099091+00:00,1.000080,A0,0.000000,0
11,2026-09-09T11:09:11.199085+00:00,1.100078,A0,0.000000,0
12,2026-09-09T11:09:11.299054+00:00,1.200081,A0,0.000000,0
13,2026-09-09T11:09:11.398978+00:00,1.300073,A0,0.000000,0
14,2026-09-09T11:09:11.498954+00:00,1.400069,A0,0.000000,0
15,2026-09-09T11:09:11.598951+00:00,1.500069,A0,0.000000,0
16,2026-09-09T11:09:11.698945+00:00,1.600068,A0,0.000000,0
17,2026-09-09T11:09:11.798947+00:00,1.700068,A0,0.000000,0
18,2026-09-09T11:09:11.898948+00:00,1.800068,A0,0.000000,0
19,2026-09-09T11:09:11.998948+00:00,1.900069,A0,0.000000,0
20,2026-09-09T11:09:12.098947+00:00,2.000069,A0,0.000000,0
21,2026-09-09T11:09:12.198951+00:00,2.100068,A0,0.000000,0
22,2026-09-09T11:09:12.298948+00:00,2.200069,A0,0.000000,0
23,2026-09-09T11:09:12.398957+00:00,2.300069,A0,0.000000,0
24,2026-09-09T11:09:12.498947+00:00,2.400069,A0,0.000000,0
25,2026-09-09T11:09:12.598973+00:00,2.500070,A0,0.000000,0
26,2026-09-09T11:09:12.698961+00:00,2.600070,A0,0.000000,0
27,2026-09-09T11:09:12.798955+00:00,2.700069,A0,0.000000,0
28,2026-09-09T11:09:12.898949+00:00,2.800067,A0,0.000000,0
29,2026-09-09T11:09:12.998948+00:00,2.900068,A0,0.000000,0
30,2026-09-09T11:09:13.098946+00:00,3.000068,A0,0.000000,0
31,2026-09-09T11:09:13.198973+00:00,3.100069,A0,0.000000,0
32,2026-09-09T11:09:13.298947+00:00,3.200069,A0,0.000000,0
33,2026-09-09T11:09:13.398948+00:00,3.300068,A0,0.000000,0
34,2026-09-09T11:09:13.498950+00:00,3.400070,A0,0.000000,0
35,2026-09-09T11:09:13.598948+00:00,3.500068,A0,0.000000,0
36,2026-09-09T11:09:13.698947+00:00,3.600069,A0,0.000000,0
37,2026-09-09T11:09:13.798944+00:00,3.700068,A0,0.000000,0
38,2026-09-09T11:09:13.898945+00:00,3.800068,A0,0.000000,0
39,2026-09-09T11:09:13.998950+00:00,3.900068,A0,0.000000,0
40,2026-09-09T11:09:14.098947+00:00,4.000069,A0,0.000000,0
41,2026-09-09T11:09:14.198946+00:00,4.100068,A0,0.000000,0
42,2026-09-09T11:09:14.298948+00:00,4.200068,A0,0.000000,0
43,2026-09-09T11:09:14.398944+00:00,4.300068,A0,0.000000,0
44,2026-09-09T11:09:14.498955+00:00,4.400068,A0,0.000000,0
45,2026-09-09T11:09:14.598949+00:00,4.500070,A0,0.000000,0
46,2026-09-09T11:09:14.698947+00:00,4.600069,A0,0.000000,0
47,2026-09-09T11:09:14.798958+00:00,4.700069,A0,0.000000,0
48,2026-09-09T11:09:14.899674+00:00,4.800091,A0,0.000000,0
49,2026-09-09T11:09:14.999672+00:00,4.900093,A0,0.000000,0
50,2026-09-09T11:09:15.099681+00:00,5.000093,A0,0.000000,0
51,2026-09-09T11:09:15.199783+00:00,5.100112,A0,0.000000,0
52,2026-09-09T11:09:15.299703+00:00,5.200108,A0,0.000000,0
53,2026-09-09T11:09:15.399681+00:00,5.300093,A0,0.000000,0
54,2026-09-09T11:09:15.499677+00:00,5.400092,A0,0.000000,0
55,2026-09-09T11:09:15.599848+00:00,5.500104,A0,0.000000,0
56,2026-09-09T11:09:15.699693+00:00,5.600097,A0,0.000000,0
57,2026-09-09T11:09:15.799693+00:00,5.700095,A0,0.000000,0
58,2026-09-09T11:09:15.899714+00:00,5.800094,A0,0.000000,0
59,2026-09-09T11:09:15.999701+00:00,5.900095,A0,0.000000,0
60,2026-09-09T11:09:16.099707+00:00,6.000095,A0,0.000000,0
61,2026-09-09T11:09:16.199950+00:00,6.100121,A0,0.000000,0
62,2026-09-09T11:09:16.299687+00:00,6.200097,A0,0.000000,0
63,2026-09-09T11:09:16.399671+00:00,6.300093,A0,0.000000,0
64,2026-09-09T11:09:16.499680+00:00,6.400096,A0,0.000000,0
65,2026-09-09T11:09:16.599687+00:00,6.500108,A0,0.000000,0
66,2026-09-09T11:09:16.699661+00:00,6.600093,A0,0.000000,0
67,2026-09-09T11:09:16.799668+00:00,6.700092,A0,0.000000,0
68,2026-09-09T11:09:16.899693+00:00,6.800093,A0,0.000000,0
69,2026-09-09T11:09:16.999668+00:00,6.900090,A0,0.000000,0
70,2026-09-09T11:09:17.099667+00:00,7.000093,A0,0.000000,0
71,2026-09-09T11:09:17.199712+00:00,7.100094,A0,0.000000,0
72,2026-09-09T11:09:17.299690+00:00,7.200093,A0,0.000000,0
73,2026-09-09T11:09:17.399668+00:00,7.300093,A0,0.000000,0
74,2026-09-09T11:09:17.499668+00:00,7.400091,A0,0.000000,0
75,2026-09-09T11:09:17.599669+00:00,7.500091,A0,0.000000,0
76,2026-09-09T11:09:17.699683+00:00,7.600107,A0,0.000000,0
77,2026-09-09T11:09:17.799702+00:00,7.700127,A0,0.000000,0
78,2026-09-09T11:09:17.899699+00:00,7.800127,A0,0.000000,0
79,2026-09-09T11:09:17.999705+00:00,7.900129,A0,0.000000,0
80,2026-09-09T11:09:18.099666+00:00,8.000092,A0,0.000000,0
81,2026-09-09T11:09:18.199664+00:00,8.100092,A0,0.000000,0
82,2026-09-09T11:09:18.299661+00:00,8.200093,A0,0.000000,0
83,2026-09-09T11:09:18.399680+00:00,8.300093,A0,0.000000,0
84,2026-09-09T11:09:18.499700+00:00,8.400093,A0,0.000000,0
85,2026-09-09T11:09:18.599685+00:00,8.500092,A0,0.000000,0
86,2026-09-09T11:09:18.699696+00:00,8.600093,A0,0.000000,0
87,2026-09-09T11:09:18.799696+00:00,8.700093,A0,0.000000,0
88,2026-09-09T11:09:18.899672+00:00,8.800093,A0,0.000000,0
89,2026-09-09T11:09:18.999666+00:00,8.900093,A0,0.000000,0
90,2026-09-09T11:09:19.099674+00:00,9.000093,A0,0.000000,0
91,2026-09-09T11:09:19.199664+00:00,9.100092,A0,0.000000,0
92,2026-09-09T11:09:19.299664+00:00,9.200092,A0,0.000000,0
93,2026-09-09T11:09:19.399670+00:00,9.300091,A0,0.000000,0
94,2026-09-09T11:09:19.499681+00:00,9.400108,A0,0.000000,0
95,2026-09-09T11:09:19.599674+00:00,9.500092,A0,0.000000,0
96,2026-09-09T11:09:19.699668+00:00,9.600094,A0,0.000000,0
97,2026-09-09T11:09:19.799676+00:00,9.700090,A0,0.000000,0
98,2026-09-09T11:09:19.899702+00:00,9.800092,A0,0.000000,0
99,2026-09-09T11:09:19.999682+00:00,9.900093,A0,0.000000,0
