sample_index,timestamp_utc,elapsed_s,phase,a0_voltage_v,a0_adc_count_derived,a1_voltage_v,a1_adc_count_derived
0,2026-09-10T07:14:51.571513+00:00,0.000755,baseline_switches_off,0.000000,0,0.000000,0
1,2026-09-10T07:14:51.670731+00:00,0.100143,baseline_switches_off,0.000000,0,0.000000,0
2,2026-09-10T07:14:51.770729+00:00,0.200134,baseline_switches_off,0.000000,0,0.000000,0
3,2026-09-10T07:14:51.870661+00:00,0.300120,baseline_switches_off,0.000000,0,0.000000,0
4,2026-09-10T07:14:51.970660+00:00,0.400120,baseline_switches_off,0.000000,0,0.000000,0
5,2026-09-10T07:14:52.070726+00:00,0.500137,baseline_switches_off,0.000000,0,0.000000,0
6,2026-09-10T07:14:52.170680+00:00,0.600121,baseline_switches_off,0.000000,0,0.000000,0
7,2026-09-10T07:14:52.270716+00:00,0.700131,baseline_switches_off,0.000000,0,0.000000,0
8,2026-09-10T07:14:52.370679+00:00,0.800122,baseline_switches_off,0.000000,0,0.000000,0
9,2026-09-10T07:14:52.470710+00:00,0.900143,baseline_switches_off,0.000000,0,0.000000,0
10,2026-09-10T07:14:52.570686+00:00,1.000127,baseline_switches_off,0.000000,0,0.000000,0
11,2026-09-10T07:14:52.670682+00:00,1.100119,baseline_switches_off,0.000000,0,0.000000,0
12,2026-09-10T07:14:52.770683+00:00,1.200121,baseline_switches_off,0.000000,0,0.000000,0
13,2026-09-10T07:14:52.870730+00:00,1.300134,baseline_switches_off,0.000000,0,0.000000,0
14,2026-09-10T07:14:52.970650+00:00,1.400121,baseline_switches_off,0.000000,0,0.000000,0
15,2026-09-10T07:14:53.070707+00:00,1.500134,baseline_switches_off,0.000000,0,0.000000,0
16,2026-09-10T07:14:53.170665+00:00,1.600121,baseline_switches_off,0.000000,0,0.000000,0
17,2026-09-10T07:14:53.270660+00:00,1.700121,baseline_switches_off,0.000000,0,0.000000,0
18,2026-09-10T07:14:53.370661+00:00,1.800119,baseline_switches_off,0.000000,0,0.000000,0
19,2026-09-10T07:14:53.470660+00:00,1.900116,baseline_switches_off,0.000000,0,0.000000,0
20,2026-09-10T07:14:53.570707+00:00,2.000130,baseline_switches_off,0.000000,0,0.000000,0
21,2026-09-10T07:14:53.670659+00:00,2.100125,baseline_switches_off,0.000000,0,0.000000,0
22,2026-09-10T07:14:53.770669+00:00,2.200125,baseline_switches_off,0.000000,0,0.000000,0
23,2026-09-10T07:14:53.870701+00:00,2.300126,baseline_switches_off,0.000000,0,0.000000,0
24,2026-09-10T07:14:53.970577+00:00,2.400113,baseline_switches_off,0.000000,0,0.000000,0
25,2026-09-10T07:14:54.070542+00:00,2.500095,baseline_switches_off,0.000000,0,0.000000,0
26,2026-09-10T07:14:54.170545+00:00,2.600091,baseline_switches_off,0.000000,0,0.000000,0
27,2026-09-10T07:14:54.270539+00:00,2.700090,baseline_switches_off,0.000000,0,0.000000,0
28,2026-09-10T07:14:54.370539+00:00,2.800089,baseline_switches_off,0.000000,0,0.000000,0
29,2026-09-10T07:14:54.470526+00:00,2.900087,baseline_switches_off,0.000000,0,0.000000,0
30,2026-09-10T07:14:54.570524+00:00,3.000087,baseline_switches_off,0.000000,0,0.000000,0
31,2026-09-10T07:14:54.670527+00:00,3.100088,baseline_switches_off,0.000000,0,0.000000,0
32,2026-09-10T07:14:54.770528+00:00,3.200088,baseline_switches_off,0.000000,0,0.000000,0
33,2026-09-10T07:14:54.870534+00:00,3.300089,baseline_switches_off,0.000000,0,0.000000,0
34,2026-09-10T07:14:54.970531+00:00,3.400090,baseline_switches_off,0.000000,0,0.000000,0
35,2026-09-10T07:14:55.070528+00:00,3.500088,baseline_switches_off,0.000000,0,0.000000,0
