sample_index,timestamp_utc,elapsed_s,phase,a0_voltage_v,pressure_emulator_bar,a1_voltage_v,flow_emulator_l_min,gpio24_raw_level,estop_active,permit_requested,trip_latched,gpio23_command_high,event
0,2026-09-11T15:52:37.485239+00:00,0.001153,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,estop_closed_reset_required
1,2026-09-11T15:52:37.584280+00:00,0.100317,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
2,2026-09-11T15:52:37.684199+00:00,0.200273,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
3,2026-09-11T15:52:37.784200+00:00,0.300273,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
4,2026-09-11T15:52:37.884193+00:00,0.400276,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
5,2026-09-11T15:52:37.984250+00:00,0.500270,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
6,2026-09-11T15:52:38.084222+00:00,0.600280,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
7,2026-09-11T15:52:38.184235+00:00,0.700307,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
8,2026-09-11T15:52:38.284199+00:00,0.800273,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
9,2026-09-11T15:52:38.384191+00:00,0.900265,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
10,2026-09-11T15:52:38.484191+00:00,1.000268,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
11,2026-09-11T15:52:38.584181+00:00,1.100275,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
12,2026-09-11T15:52:38.684200+00:00,1.200268,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
13,2026-09-11T15:52:38.784199+00:00,1.300265,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
14,2026-09-11T15:52:38.884197+00:00,1.400267,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
15,2026-09-11T15:52:38.984163+00:00,1.500277,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
16,2026-09-11T15:52:39.084188+00:00,1.600265,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
17,2026-09-11T15:52:39.184222+00:00,1.700305,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
