sample_index,timestamp_utc,elapsed_s,phase,a0_voltage_v,pressure_emulator_bar,a1_voltage_v,flow_emulator_l_min,gpio24_raw_level,estop_active,permit_requested,trip_latched,gpio23_command_high,event
0,2026-09-11T15:53:10.039361+00:00,0.001041,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,estop_closed_reset_required
1,2026-09-11T15:53:10.138410+00:00,0.100320,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
2,2026-09-11T15:53:10.238426+00:00,0.200278,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
3,2026-09-11T15:53:10.338451+00:00,0.300274,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
4,2026-09-11T15:53:10.438381+00:00,0.400294,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
5,2026-09-11T15:53:10.538433+00:00,0.500279,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
6,2026-09-11T15:53:10.638604+00:00,0.600275,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
7,2026-09-11T15:53:10.738377+00:00,0.700282,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
8,2026-09-11T15:53:10.838423+00:00,0.800274,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
9,2026-09-11T15:53:10.938431+00:00,0.900268,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
10,2026-09-11T15:53:11.038419+00:00,1.000283,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
11,2026-09-11T15:53:11.138434+00:00,1.100274,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
12,2026-09-11T15:53:11.238407+00:00,1.200277,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
13,2026-09-11T15:53:11.338416+00:00,1.300270,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
14,2026-09-11T15:53:11.438358+00:00,1.400274,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
15,2026-09-11T15:53:11.538325+00:00,1.500259,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
16,2026-09-11T15:53:11.638193+00:00,1.600193,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
17,2026-09-11T15:53:11.738199+00:00,1.700183,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
18,2026-09-11T15:53:11.838178+00:00,1.800178,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
19,2026-09-11T15:53:11.938176+00:00,1.900175,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
20,2026-09-11T15:53:12.038190+00:00,2.000180,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
21,2026-09-11T15:53:12.138174+00:00,2.100175,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
22,2026-09-11T15:53:12.238187+00:00,2.200180,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
23,2026-09-11T15:53:12.338173+00:00,2.300174,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
24,2026-09-11T15:53:12.438182+00:00,2.400176,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
25,2026-09-11T15:53:12.538187+00:00,2.500179,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
26,2026-09-11T15:53:12.638195+00:00,2.600185,boot_safe,-0.002000,-0.00606,0.000000,0.00000,LOW,false,false,true,false,
27,2026-09-11T15:53:12.738214+00:00,2.700191,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
28,2026-09-11T15:53:12.838200+00:00,2.800182,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
29,2026-09-11T15:53:12.938189+00:00,2.900179,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
30,2026-09-11T15:53:13.038188+00:00,3.000178,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
31,2026-09-11T15:53:13.138175+00:00,3.100172,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
32,2026-09-11T15:53:13.238178+00:00,3.200174,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
33,2026-09-11T15:53:13.338315+00:00,3.300245,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
34,2026-09-11T15:53:13.438303+00:00,3.400236,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
35,2026-09-11T15:53:13.538209+00:00,3.500197,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
36,2026-09-11T15:53:13.638192+00:00,3.600183,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
37,2026-09-11T15:53:13.738188+00:00,3.700180,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
38,2026-09-11T15:53:13.838196+00:00,3.800184,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
39,2026-09-11T15:53:13.938181+00:00,3.900174,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
40,2026-09-11T15:53:14.038193+00:00,4.000182,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
41,2026-09-11T15:53:14.138362+00:00,4.100184,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
42,2026-09-11T15:53:14.238238+00:00,4.200218,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
43,2026-09-11T15:53:14.338194+00:00,4.300186,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
44,2026-09-11T15:53:14.438188+00:00,4.400180,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
45,2026-09-11T15:53:14.539441+00:00,4.500303,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
