sample_index,timestamp_utc,elapsed_s,phase,a0_voltage_v,pressure_emulator_bar,a1_voltage_v,flow_emulator_l_min,gpio24_raw_level,estop_active,permit_requested,trip_latched,gpio23_command_high,event
0,2026-09-11T15:44:43.411743+00:00,0.006864,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,logger_started_output_safe
1,2026-09-11T15:44:43.505022+00:00,0.100283,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
2,2026-09-11T15:44:43.604910+00:00,0.200212,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
3,2026-09-11T15:44:43.704877+00:00,0.300196,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
4,2026-09-11T15:44:43.804869+00:00,0.400191,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
5,2026-09-11T15:44:43.904889+00:00,0.500195,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
6,2026-09-11T15:44:44.004885+00:00,0.600198,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
7,2026-09-11T15:44:44.104865+00:00,0.700188,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
8,2026-09-11T15:44:44.205029+00:00,0.800308,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
9,2026-09-11T15:44:44.304890+00:00,0.900206,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
10,2026-09-11T15:44:44.404866+00:00,1.000191,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
11,2026-09-11T15:44:44.504864+00:00,1.100187,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
12,2026-09-11T15:44:44.604865+00:00,1.200184,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
13,2026-09-11T15:44:44.704877+00:00,1.300185,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
14,2026-09-11T15:44:44.804857+00:00,1.400181,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
15,2026-09-11T15:44:44.904876+00:00,1.500192,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
16,2026-09-11T15:44:45.004870+00:00,1.600190,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
17,2026-09-11T15:44:45.104868+00:00,1.700187,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
18,2026-09-11T15:44:45.204862+00:00,1.800185,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
19,2026-09-11T15:44:45.304853+00:00,1.900179,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
20,2026-09-11T15:44:45.404859+00:00,2.000184,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
21,2026-09-11T15:44:45.504857+00:00,2.100181,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
22,2026-09-11T15:44:45.604862+00:00,2.200181,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
23,2026-09-11T15:44:45.704856+00:00,2.300183,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
24,2026-09-11T15:44:45.804868+00:00,2.400188,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
25,2026-09-11T15:44:45.904866+00:00,2.500184,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
26,2026-09-11T15:44:46.004878+00:00,2.600197,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
