sample_index,timestamp_utc,elapsed_s,phase,a0_voltage_v,pressure_emulator_bar,a1_voltage_v,flow_emulator_l_min,gpio24_raw_level,estop_active,permit_requested,trip_latched,gpio23_command_high,event
0,2026-09-11T15:33:15.587427+00:00,0.001006,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,logger_started_output_safe
1,2026-09-11T15:33:15.686671+00:00,0.100335,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
2,2026-09-11T15:33:15.786618+00:00,0.200305,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
3,2026-09-11T15:33:15.886558+00:00,0.300284,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
4,2026-09-11T15:33:15.986509+00:00,0.400295,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
5,2026-09-11T15:33:16.086338+00:00,0.500197,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
6,2026-09-11T15:33:16.186314+00:00,0.600177,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
7,2026-09-11T15:33:16.286302+00:00,0.700172,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
8,2026-09-11T15:33:16.386318+00:00,0.800180,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
9,2026-09-11T15:33:16.486314+00:00,0.900177,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
10,2026-09-11T15:33:16.586311+00:00,1.000177,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
11,2026-09-11T15:33:16.686318+00:00,1.100181,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
12,2026-09-11T15:33:16.786353+00:00,1.200197,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
13,2026-09-11T15:33:16.886540+00:00,1.300311,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
14,2026-09-11T15:33:16.986341+00:00,1.400199,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
15,2026-09-11T15:33:17.086313+00:00,1.500178,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
16,2026-09-11T15:33:17.186308+00:00,1.600174,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
17,2026-09-11T15:33:17.286312+00:00,1.700174,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
18,2026-09-11T15:33:17.386311+00:00,1.800173,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
19,2026-09-11T15:33:17.486315+00:00,1.900174,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
20,2026-09-11T15:33:17.586319+00:00,2.000177,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
21,2026-09-11T15:33:17.686315+00:00,2.100176,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
22,2026-09-11T15:33:17.786309+00:00,2.200173,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
23,2026-09-11T15:33:17.886362+00:00,2.300200,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
24,2026-09-11T15:33:17.986321+00:00,2.400182,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
25,2026-09-11T15:33:18.086314+00:00,2.500177,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
26,2026-09-11T15:33:18.186319+00:00,2.600181,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
27,2026-09-11T15:33:18.286307+00:00,2.700174,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
28,2026-09-11T15:33:18.386312+00:00,2.800170,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
29,2026-09-11T15:33:18.486317+00:00,2.900175,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
30,2026-09-11T15:33:18.586309+00:00,3.000173,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
31,2026-09-11T15:33:18.686531+00:00,3.100312,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
32,2026-09-11T15:33:18.786327+00:00,3.200190,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
33,2026-09-11T15:33:18.886337+00:00,3.300189,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
34,2026-09-11T15:33:18.986322+00:00,3.400184,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
35,2026-09-11T15:33:19.086310+00:00,3.500176,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
36,2026-09-11T15:33:19.186311+00:00,3.600175,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
37,2026-09-11T15:33:19.286447+00:00,3.700250,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
38,2026-09-11T15:33:19.386329+00:00,3.800193,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
39,2026-09-11T15:33:19.486470+00:00,3.900266,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
40,2026-09-11T15:33:19.586340+00:00,4.000199,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
41,2026-09-11T15:33:19.686323+00:00,4.100181,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
42,2026-09-11T15:33:19.786314+00:00,4.200181,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
43,2026-09-11T15:33:19.886311+00:00,4.300173,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
44,2026-09-11T15:33:19.987590+00:00,4.400308,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
45,2026-09-11T15:33:20.087845+00:00,4.500315,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
46,2026-09-11T15:33:20.187530+00:00,4.600283,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
47,2026-09-11T15:33:20.287872+00:00,4.700311,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
48,2026-09-11T15:33:20.387825+00:00,4.800305,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
49,2026-09-11T15:33:20.487549+00:00,4.900292,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
50,2026-09-11T15:33:20.587848+00:00,5.000317,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
51,2026-09-11T15:33:20.687540+00:00,5.100287,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
52,2026-09-11T15:33:20.787850+00:00,5.200319,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
53,2026-09-11T15:33:20.887530+00:00,5.300283,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
54,2026-09-11T15:33:20.987857+00:00,5.400320,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
55,2026-09-11T15:33:21.087518+00:00,5.500283,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
56,2026-09-11T15:33:21.187840+00:00,5.600314,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
57,2026-09-11T15:33:21.287529+00:00,5.700289,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
58,2026-09-11T15:33:21.387845+00:00,5.800318,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
59,2026-09-11T15:33:21.487525+00:00,5.900284,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
60,2026-09-11T15:33:21.587847+00:00,6.000308,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
61,2026-09-11T15:33:21.687529+00:00,6.100284,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
62,2026-09-11T15:33:21.787828+00:00,6.200313,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
63,2026-09-11T15:33:21.887694+00:00,6.300304,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
64,2026-09-11T15:33:21.987954+00:00,6.400380,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
65,2026-09-11T15:33:22.087615+00:00,6.500338,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
66,2026-09-11T15:33:22.187846+00:00,6.600323,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
67,2026-09-11T15:33:22.287568+00:00,6.700309,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
68,2026-09-11T15:33:22.387839+00:00,6.800316,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
69,2026-09-11T15:33:22.487533+00:00,6.900283,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
70,2026-09-11T15:33:22.587837+00:00,7.000315,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
71,2026-09-11T15:33:22.687539+00:00,7.100286,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
72,2026-09-11T15:33:22.787827+00:00,7.200307,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
73,2026-09-11T15:33:22.887776+00:00,7.300436,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
74,2026-09-11T15:33:22.987883+00:00,7.400344,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
75,2026-09-11T15:33:23.087544+00:00,7.500296,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
76,2026-09-11T15:33:23.187862+00:00,7.600327,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
77,2026-09-11T15:33:23.287821+00:00,7.700307,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
78,2026-09-11T15:33:23.387528+00:00,7.800286,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
79,2026-09-11T15:33:23.488049+00:00,7.900424,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
80,2026-09-11T15:33:23.587566+00:00,8.000312,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
81,2026-09-11T15:33:23.687845+00:00,8.100316,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
82,2026-09-11T15:33:23.787544+00:00,8.200292,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
83,2026-09-11T15:33:23.887836+00:00,8.300310,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
84,2026-09-11T15:33:23.987594+00:00,8.400312,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
