sample_index,timestamp_utc,elapsed_s,phase,a0_voltage_v,pressure_emulator_bar,a1_voltage_v,flow_emulator_l_min,gpio24_raw_level,estop_active,permit_requested,trip_latched,gpio23_command_high,event
0,2026-09-11T16:05:00.686478+00:00,0.006868,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,logger_started_output_safe
1,2026-09-11T16:05:00.779807+00:00,0.100317,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
2,2026-09-11T16:05:00.879751+00:00,0.200275,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
3,2026-09-11T16:05:00.979775+00:00,0.300278,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
4,2026-09-11T16:05:01.079804+00:00,0.400279,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
5,2026-09-11T16:05:01.179765+00:00,0.500276,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
6,2026-09-11T16:05:01.279768+00:00,0.600279,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
7,2026-09-11T16:05:01.379753+00:00,0.700274,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
8,2026-09-11T16:05:01.479726+00:00,0.800262,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
9,2026-09-11T16:05:01.579748+00:00,0.900274,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
10,2026-09-11T16:05:01.679737+00:00,1.000271,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
11,2026-09-11T16:05:01.779760+00:00,1.100277,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
12,2026-09-11T16:05:01.879744+00:00,1.200267,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
13,2026-09-11T16:05:01.979734+00:00,1.300266,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
14,2026-09-11T16:05:02.079752+00:00,1.400272,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
15,2026-09-11T16:05:02.179747+00:00,1.500270,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
16,2026-09-11T16:05:02.279661+00:00,1.600263,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
17,2026-09-11T16:05:02.379559+00:00,1.700210,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
18,2026-09-11T16:05:02.479517+00:00,1.800187,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
19,2026-09-11T16:05:02.579522+00:00,1.900184,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
20,2026-09-11T16:05:02.679541+00:00,2.000194,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
21,2026-09-11T16:05:02.779530+00:00,2.100197,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
22,2026-09-11T16:05:02.879610+00:00,2.200231,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
23,2026-09-11T16:05:02.979519+00:00,2.300192,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
24,2026-09-11T16:05:03.079514+00:00,2.400182,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
25,2026-09-11T16:05:03.179514+00:00,2.500183,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
26,2026-09-11T16:05:03.279517+00:00,2.600185,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
27,2026-09-11T16:05:03.379504+00:00,2.700176,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
28,2026-09-11T16:05:03.479519+00:00,2.800180,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
29,2026-09-11T16:05:03.579514+00:00,2.900181,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
30,2026-09-11T16:05:03.679520+00:00,3.000186,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
31,2026-09-11T16:05:03.779506+00:00,3.100179,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
32,2026-09-11T16:05:03.879513+00:00,3.200179,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
33,2026-09-11T16:05:03.979518+00:00,3.300183,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
34,2026-09-11T16:05:04.079505+00:00,3.400175,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
35,2026-09-11T16:05:04.179515+00:00,3.500184,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
36,2026-09-11T16:05:04.279505+00:00,3.600178,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
37,2026-09-11T16:05:04.379502+00:00,3.700178,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
38,2026-09-11T16:05:04.479515+00:00,3.800182,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
39,2026-09-11T16:05:04.579513+00:00,3.900181,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
40,2026-09-11T16:05:04.679533+00:00,4.000191,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
41,2026-09-11T16:05:04.779568+00:00,4.100180,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
42,2026-09-11T16:05:04.879644+00:00,4.200258,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
43,2026-09-11T16:05:04.979523+00:00,4.300196,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
44,2026-09-11T16:05:05.079891+00:00,4.400210,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
45,2026-09-11T16:05:05.180849+00:00,4.500310,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
46,2026-09-11T16:05:05.280970+00:00,4.600320,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
47,2026-09-11T16:05:05.380795+00:00,4.700283,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
48,2026-09-11T16:05:05.480951+00:00,4.800313,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
49,2026-09-11T16:05:05.580792+00:00,4.900281,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
50,2026-09-11T16:05:05.681180+00:00,5.000311,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
51,2026-09-11T16:05:05.780898+00:00,5.100379,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
52,2026-09-11T16:05:05.880829+00:00,5.200304,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
53,2026-09-11T16:05:05.981046+00:00,5.300318,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
54,2026-09-11T16:05:06.080716+00:00,5.400282,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
55,2026-09-11T16:05:06.181135+00:00,5.500319,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
56,2026-09-11T16:05:06.280795+00:00,5.600290,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
57,2026-09-11T16:05:06.381142+00:00,5.700325,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
58,2026-09-11T16:05:06.480730+00:00,5.800291,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
59,2026-09-11T16:05:06.581045+00:00,5.900315,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
60,2026-09-11T16:05:06.680771+00:00,6.000292,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
61,2026-09-11T16:05:06.781090+00:00,6.100340,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
62,2026-09-11T16:05:06.880980+00:00,6.200427,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
63,2026-09-11T16:05:06.981088+00:00,6.300337,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
64,2026-09-11T16:05:07.080738+00:00,6.400293,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
65,2026-09-11T16:05:07.181064+00:00,6.500323,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
66,2026-09-11T16:05:07.280745+00:00,6.600299,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
67,2026-09-11T16:05:07.381055+00:00,6.700319,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
68,2026-09-11T16:05:07.480754+00:00,6.800294,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
69,2026-09-11T16:05:07.581032+00:00,6.900314,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
70,2026-09-11T16:05:07.680725+00:00,7.000286,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
71,2026-09-11T16:05:07.781047+00:00,7.100315,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
72,2026-09-11T16:05:07.880838+00:00,7.200338,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
73,2026-09-11T16:05:07.981075+00:00,7.300336,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
74,2026-09-11T16:05:08.080730+00:00,7.400288,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
75,2026-09-11T16:05:08.181033+00:00,7.500313,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
76,2026-09-11T16:05:08.280749+00:00,7.600296,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
77,2026-09-11T16:05:08.381035+00:00,7.700317,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
78,2026-09-11T16:05:08.480728+00:00,7.800287,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
79,2026-09-11T16:05:08.581032+00:00,7.900313,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
80,2026-09-11T16:05:08.680728+00:00,8.000286,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
81,2026-09-11T16:05:08.781065+00:00,8.100321,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
82,2026-09-11T16:05:08.881042+00:00,8.200310,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
83,2026-09-11T16:05:08.980734+00:00,8.300286,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
84,2026-09-11T16:05:09.081043+00:00,8.400307,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
85,2026-09-11T16:05:09.180730+00:00,8.500285,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
