sample_index,timestamp_utc,elapsed_s,phase,a0_voltage_v,pressure_emulator_bar,a1_voltage_v,flow_emulator_l_min,gpio24_raw_level,estop_active,permit_requested,trip_latched,gpio23_command_high,event
0,2026-09-11T20:19:48.719804+00:00,0.000999,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,estop_closed_reset_required
1,2026-09-11T20:19:48.818932+00:00,0.100320,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
2,2026-09-11T20:19:48.918866+00:00,0.200271,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
3,2026-09-11T20:19:49.018845+00:00,0.300263,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
4,2026-09-11T20:19:49.118826+00:00,0.400276,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
5,2026-09-11T20:19:49.218939+00:00,0.500267,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
6,2026-09-11T20:19:49.318812+00:00,0.600280,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
7,2026-09-11T20:19:49.418706+00:00,0.700219,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
8,2026-09-11T20:19:49.518691+00:00,0.800206,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
9,2026-09-11T20:19:49.618648+00:00,0.900185,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
10,2026-09-11T20:19:49.718643+00:00,1.000181,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
11,2026-09-11T20:19:49.818660+00:00,1.100185,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
12,2026-09-11T20:19:49.918639+00:00,1.200176,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
13,2026-09-11T20:19:50.018645+00:00,1.300174,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
14,2026-09-11T20:19:50.118651+00:00,1.400181,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
15,2026-09-11T20:19:50.218642+00:00,1.500180,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
16,2026-09-11T20:19:50.318636+00:00,1.600176,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
17,2026-09-11T20:19:50.418635+00:00,1.700176,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
18,2026-09-11T20:19:50.518645+00:00,1.800178,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
19,2026-09-11T20:19:50.618631+00:00,1.900175,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
20,2026-09-11T20:19:50.718630+00:00,2.000174,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
21,2026-09-11T20:19:50.818631+00:00,2.100172,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
