sample_index,timestamp_utc,elapsed_s,phase,a0_voltage_v,pressure_emulator_bar,a1_voltage_v,flow_emulator_l_min,gpio24_raw_level,estop_active,permit_requested,trip_latched,gpio23_command_high,event
0,2026-09-11T20:22:05.856257+00:00,0.001050,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,estop_closed_reset_required
1,2026-09-11T20:22:05.955384+00:00,0.100321,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
2,2026-09-11T20:22:06.055345+00:00,0.200278,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
3,2026-09-11T20:22:06.155311+00:00,0.300269,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
4,2026-09-11T20:22:06.255314+00:00,0.400271,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
5,2026-09-11T20:22:06.355324+00:00,0.500272,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
6,2026-09-11T20:22:06.455308+00:00,0.600271,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
7,2026-09-11T20:22:06.555296+00:00,0.700266,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
8,2026-09-11T20:22:06.655239+00:00,0.800259,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
9,2026-09-11T20:22:06.755140+00:00,0.900204,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
10,2026-09-11T20:22:06.855095+00:00,1.000181,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
11,2026-09-11T20:22:06.955101+00:00,1.100184,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
12,2026-09-11T20:22:07.055100+00:00,1.200180,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
13,2026-09-11T20:22:07.155108+00:00,1.300179,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
14,2026-09-11T20:22:07.255099+00:00,1.400180,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
15,2026-09-11T20:22:07.355285+00:00,1.500275,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
16,2026-09-11T20:22:07.455184+00:00,1.600230,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
17,2026-09-11T20:22:07.555116+00:00,1.700191,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
18,2026-09-11T20:22:07.655142+00:00,1.800202,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
19,2026-09-11T20:22:07.755117+00:00,1.900189,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
20,2026-09-11T20:22:07.855133+00:00,2.000198,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
21,2026-09-11T20:22:07.955102+00:00,2.100183,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
22,2026-09-11T20:22:08.055102+00:00,2.200182,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
23,2026-09-11T20:22:08.155085+00:00,2.300176,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
24,2026-09-11T20:22:08.255101+00:00,2.400179,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
25,2026-09-11T20:22:08.355086+00:00,2.500175,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
26,2026-09-11T20:22:08.455093+00:00,2.600177,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
27,2026-09-11T20:22:08.555095+00:00,2.700176,boot_safe,0.000000,0.00000,0.000000,0.00000,LOW,false,false,true,false,
