sample_index,timestamp_utc,elapsed_s,phase,a0_voltage_v,pressure_emulator_bar,a1_voltage_v,flow_emulator_l_min,gpio24_raw_level,estop_active,permit_requested,trip_latched,gpio23_command_high,event
0,2026-09-11T21:08:32.479902+00:00,0.006995,boot_safe,-0.144000,-0.43610,-0.144000,-0.87273,HIGH,true,false,true,false,logger_started_output_safe
1,2026-09-11T21:08:32.573160+00:00,0.100360,boot_safe,-0.144000,-0.43610,-0.144000,-0.87273,HIGH,true,false,true,false,
2,2026-09-11T21:08:32.673093+00:00,0.200293,boot_safe,-0.144000,-0.43610,-0.144000,-0.87273,HIGH,true,false,true,false,
3,2026-09-11T21:08:32.773077+00:00,0.300282,boot_safe,-0.144000,-0.43610,-0.142000,-0.86061,HIGH,true,false,true,false,
4,2026-09-11T21:08:32.873100+00:00,0.400284,boot_safe,-0.144000,-0.43610,-0.144000,-0.87273,HIGH,true,false,true,false,
5,2026-09-11T21:08:32.973096+00:00,0.500294,boot_safe,-0.144000,-0.43610,-0.144000,-0.87273,HIGH,true,false,true,false,
6,2026-09-11T21:08:33.073088+00:00,0.600287,boot_safe,-0.144000,-0.43610,-0.144000,-0.87273,HIGH,true,false,true,false,
7,2026-09-11T21:08:33.173087+00:00,0.700282,boot_safe,-0.146000,-0.44216,-0.144000,-0.87273,HIGH,true,false,true,false,
8,2026-09-11T21:08:33.273093+00:00,0.800280,boot_safe,-0.144000,-0.43610,-0.142000,-0.86061,HIGH,true,false,true,false,
9,2026-09-11T21:08:33.373089+00:00,0.900293,boot_safe,-0.142000,-0.43004,-0.144000,-0.87273,HIGH,true,false,true,false,
10,2026-09-11T21:08:33.473082+00:00,1.000288,boot_safe,-0.144000,-0.43610,-0.144000,-0.87273,HIGH,true,false,true,false,
11,2026-09-11T21:08:33.573104+00:00,1.100288,boot_safe,-0.144000,-0.43610,-0.146000,-0.88485,HIGH,true,false,true,false,
12,2026-09-11T21:08:33.673076+00:00,1.200279,boot_safe,-0.144000,-0.43610,-0.142000,-0.86061,HIGH,true,false,true,false,
13,2026-09-11T21:08:33.773085+00:00,1.300287,boot_safe,-0.144000,-0.43610,-0.144000,-0.87273,HIGH,true,false,true,false,
14,2026-09-11T21:08:33.873078+00:00,1.400281,boot_safe,-0.144000,-0.43610,-0.144000,-0.87273,HIGH,true,false,true,false,
15,2026-09-11T21:08:33.973086+00:00,1.500281,boot_safe,-0.144000,-0.43610,-0.144000,-0.87273,HIGH,true,false,true,false,
16,2026-09-11T21:08:34.073067+00:00,1.600274,boot_safe,-0.144000,-0.43610,-0.144000,-0.87273,HIGH,true,false,true,false,
17,2026-09-11T21:08:34.173055+00:00,1.700282,boot_safe,-0.144000,-0.43610,-0.144000,-0.87273,HIGH,true,false,true,false,
18,2026-09-11T21:08:34.273068+00:00,1.800272,boot_safe,-0.144000,-0.43610,-0.144000,-0.87273,HIGH,true,false,true,false,
19,2026-09-11T21:08:34.373051+00:00,1.900276,boot_safe,-0.144000,-0.43610,-0.142000,-0.86061,HIGH,true,false,true,false,
20,2026-09-11T21:08:34.473018+00:00,2.000273,boot_safe,-0.146000,-0.44216,-0.142000,-0.86061,HIGH,true,false,true,false,
21,2026-09-11T21:08:34.572877+00:00,2.100199,boot_safe,-0.144000,-0.43610,-0.144000,-0.87273,HIGH,true,false,true,false,
22,2026-09-11T21:08:34.672870+00:00,2.200187,boot_safe,-0.144000,-0.43610,-0.144000,-0.87273,HIGH,true,false,true,false,
23,2026-09-11T21:08:34.772876+00:00,2.300185,boot_safe,-0.144000,-0.43610,-0.144000,-0.87273,HIGH,true,false,true,false,
24,2026-09-11T21:08:34.872866+00:00,2.400183,boot_safe,-0.144000,-0.43610,-0.144000,-0.87273,HIGH,true,false,true,false,
25,2026-09-11T21:08:34.972855+00:00,2.500177,boot_safe,-0.144000,-0.43610,-0.142000,-0.86061,HIGH,true,false,true,false,
26,2026-09-11T21:08:35.072860+00:00,2.600181,boot_safe,-0.144000,-0.43610,-0.144000,-0.87273,HIGH,true,false,true,false,
27,2026-09-11T21:08:35.172869+00:00,2.700182,boot_safe,-0.148000,-0.44821,-0.140000,-0.84848,HIGH,true,false,true,false,
28,2026-09-11T21:08:35.273005+00:00,2.800261,boot_safe,-0.144000,-0.43610,-0.144000,-0.87273,HIGH,true,false,true,false,
29,2026-09-11T21:08:35.372968+00:00,2.900247,boot_safe,-0.144000,-0.43610,-0.144000,-0.87273,HIGH,true,false,true,false,
30,2026-09-11T21:08:35.472876+00:00,3.000199,boot_safe,-0.144000,-0.43610,-0.144000,-0.87273,HIGH,true,false,true,false,
31,2026-09-11T21:08:35.572888+00:00,3.100201,boot_safe,-0.144000,-0.43610,-0.144000,-0.87273,HIGH,true,false,true,false,
32,2026-09-11T21:08:35.672877+00:00,3.200191,boot_safe,-0.144000,-0.43610,-0.144000,-0.87273,HIGH,true,false,true,false,
