sample_index,timestamp_utc,elapsed_s,event,reason,pressure_voltage_v,pressure_bar,pressure_state,flow_voltage_v,flow_l_min,flow_state,estop_active,process_healthy,trip_latched,permit_requested,gpio23_command_high,relay_energized_expected,red_indicator_expected,green_indicator_expected,record_kind
164,2026-09-12T07:24:57.113645+00:00,16.431831,,reset_required,0.0,0.0,safe,0.0,0.0,safe,false,true,true,false,false,false,true,false,sample
165,2026-09-12T07:24:57.213560+00:00,16.531681,,reset_required,0.0,0.0,safe,0.0,0.0,safe,false,true,true,false,false,false,true,false,sample
166,2026-09-12T07:24:57.313571+00:00,16.631720,,reset_required,0.0,0.0,safe,0.0,0.0,safe,false,true,true,false,false,false,true,false,sample
167,2026-09-12T07:24:57.413599+00:00,16.731758,,reset_required,0.0,0.0,safe,0.0,0.0,safe,false,true,true,false,false,false,true,false,sample
168,2026-09-12T07:24:57.513567+00:00,16.831708,,reset_required,0.0,0.0,safe,0.0,0.0,safe,false,true,true,false,false,false,true,false,sample
169,2026-09-12T07:24:57.613558+00:00,16.931677,,reset_required,0.0,0.0,safe,0.0,0.0,safe,false,true,true,false,false,false,true,false,sample
170,2026-09-12T07:24:57.713559+00:00,17.031678,,reset_required,0.0,0.0,safe,0.0,0.0,safe,false,true,true,false,false,false,true,false,sample
171,2026-09-12T07:24:57.813565+00:00,17.131696,,reset_required,0.0,0.0,safe,0.0,0.0,safe,false,true,true,false,false,false,true,false,sample
172,2026-09-12T07:24:57.913560+00:00,17.231675,,reset_required,0.0,0.0,safe,0.0,0.0,safe,false,true,true,false,false,false,true,false,sample
173,2026-09-12T07:24:58.013556+00:00,17.331692,,reset_required,0.0,0.0,safe,0.0,0.0,safe,false,true,true,false,false,false,true,false,sample
173,2026-09-12T07:24:58.013556+00:00,17.331692,trip_reset_output_safe,output_safe,0.0,0.0,safe,0.0,0.0,safe,false,true,false,false,false,false,true,false,command
174,2026-09-12T07:24:58.113644+00:00,17.432345,,output_safe,0.0,0.0,safe,0.0,0.0,safe,false,true,false,false,false,false,true,false,sample
175,2026-09-12T07:24:58.213638+00:00,17.532032,,output_safe,0.0,0.0,safe,0.0,0.0,safe,false,true,false,false,false,false,true,false,sample
176,2026-09-12T07:24:58.313566+00:00,17.631703,,output_safe,0.0,0.0,safe,0.0,0.0,safe,false,true,false,false,false,false,true,false,sample
177,2026-09-12T07:24:58.413561+00:00,17.731692,,output_safe,0.0,0.0,safe,0.0,0.0,safe,false,true,false,false,false,false,true,false,sample
178,2026-09-12T07:24:58.513584+00:00,17.831739,,output_safe,0.0,0.0,safe,0.0,0.0,safe,false,true,false,false,false,false,true,false,sample
179,2026-09-12T07:24:58.613563+00:00,17.931694,,output_safe,0.0,0.0,safe,0.0,0.0,safe,false,true,false,false,false,false,true,false,sample
180,2026-09-12T07:24:58.713571+00:00,18.031708,,output_safe,0.0,0.0,safe,0.0,0.0,safe,false,true,false,false,false,false,true,false,sample
181,2026-09-12T07:24:58.813563+00:00,18.131690,,output_safe,0.0,0.0,safe,0.0,0.0,safe,false,true,false,false,false,false,true,false,sample
182,2026-09-12T07:24:58.913563+00:00,18.231687,,output_safe,0.0,0.0,safe,0.0,0.0,safe,false,true,false,false,false,false,true,false,sample
183,2026-09-12T07:24:59.013562+00:00,18.331688,,output_safe,0.0,0.0,safe,0.0,0.0,safe,false,true,false,false,false,false,true,false,sample
184,2026-09-12T07:24:59.113561+00:00,18.431702,,output_safe,0.0,0.0,safe,0.0,0.0,safe,false,true,false,false,false,false,true,false,sample
185,2026-09-12T07:24:59.213563+00:00,18.531688,,output_safe,0.0,0.0,safe,0.0,0.0,safe,false,true,false,false,false,false,true,false,sample
186,2026-09-12T07:24:59.313562+00:00,18.631694,,output_safe,0.0,0.0,safe,0.0,0.0,safe,false,true,false,false,false,false,true,false,sample
187,2026-09-12T07:24:59.413565+00:00,18.731704,,output_safe,0.0,0.0,safe,0.0,0.0,safe,false,true,false,false,false,false,true,false,sample
188,2026-09-12T07:24:59.513560+00:00,18.831689,,output_safe,0.0,0.0,safe,0.0,0.0,safe,false,true,false,false,false,false,true,false,sample
189,2026-09-12T07:24:59.613558+00:00,18.931684,,output_safe,0.0,0.0,safe,0.0,0.0,safe,false,true,false,false,false,false,true,false,sample
190,2026-09-12T07:24:59.713560+00:00,19.031693,,output_safe,0.0,0.0,safe,0.0,0.0,safe,false,true,false,false,false,false,true,false,sample
191,2026-09-12T07:24:59.813559+00:00,19.131695,,output_safe,0.0,0.0,safe,0.0,0.0,safe,false,true,false,false,false,false,true,false,sample
192,2026-09-12T07:24:59.913560+00:00,19.231684,,output_safe,0.0,0.0,safe,0.0,0.0,safe,false,true,false,false,false,false,true,false,sample
193,2026-09-12T07:25:00.013559+00:00,19.331682,,output_safe,0.0,0.0,safe,0.0,0.0,safe,false,true,false,false,false,false,true,false,sample
194,2026-09-12T07:25:00.113560+00:00,19.431684,,output_safe,0.0,0.0,safe,0.0,0.0,safe,false,true,false,false,false,false,true,false,sample
195,2026-09-12T07:25:00.213562+00:00,19.531693,,output_safe,0.0,0.0,safe,0.0,0.0,safe,false,true,false,false,false,false,true,false,sample
196,2026-09-12T07:25:00.313559+00:00,19.631685,,output_safe,0.0,0.0,safe,0.0,0.0,safe,false,true,false,false,false,false,true,false,sample
197,2026-09-12T07:25:00.413562+00:00,19.731695,,output_safe,0.0,0.0,safe,0.0,0.0,safe,false,true,false,false,false,false,true,false,sample
198,2026-09-12T07:25:00.513593+00:00,19.831728,,output_safe,0.0,0.0,safe,0.0,0.0,safe,false,true,false,false,false,false,true,false,sample
199,2026-09-12T07:25:00.613590+00:00,19.931717,,output_safe,0.0,0.0,safe,0.0,0.0,safe,false,true,false,false,false,false,true,false,sample
200,2026-09-12T07:25:00.713562+00:00,20.031699,,output_safe,0.0,0.0,safe,0.0,0.0,safe,false,true,false,false,false,false,true,false,sample
